T27,Water supply and sanitation services,,,,,
499,Montenegro,2010,"Safely managed drinking water sources, total (Proportion of population with access)",84.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
499,Montenegro,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",31.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
499,Montenegro,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",35.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
499,Montenegro,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",33.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
499,Montenegro,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",87.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
499,Montenegro,2015,"Safely managed drinking water sources, total (Proportion of population with access)",84.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
499,Montenegro,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",46.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
499,Montenegro,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",39.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
499,Montenegro,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",43.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
499,Montenegro,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",87.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
499,Montenegro,2022,"Safely managed drinking water sources, total (Proportion of population with access)",85.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
499,Montenegro,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",64.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
499,Montenegro,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",43.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
499,Montenegro,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",57.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
504,Morocco,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",76.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
504,Morocco,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",21.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
504,Morocco,2010,"Safely managed drinking water sources, total (Proportion of population with access)",53.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
504,Morocco,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",33.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
504,Morocco,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",55.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
504,Morocco,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",89.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
504,Morocco,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",35.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
504,Morocco,2015,"Safely managed drinking water sources, total (Proportion of population with access)",68.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
504,Morocco,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",33.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
504,Morocco,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",57.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
504,Morocco,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",90.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
504,Morocco,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",46.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
504,Morocco,2022,"Safely managed drinking water sources, total (Proportion of population with access)",74.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
504,Morocco,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",34.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
504,Morocco,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",61.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
