T02,"Population, density and surface area",,,,,
520,Nauru,2024,Population aged 0 to 14 years old (percentage),37.8,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
520,Nauru,2024,Population aged 60+ years old (percentage),5.1,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
520,Nauru,2024,Population density,597.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
524,Nepal,2010,Population mid-year estimates (millions),27.34,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
524,Nepal,2010,Population mid-year estimates for males (millions),13.41,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
524,Nepal,2010,Population mid-year estimates for females (millions),13.94,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
524,Nepal,2010,Sex ratio (males per 100 females),96.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
524,Nepal,2010,Population aged 0 to 14 years old (percentage),36.0,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
524,Nepal,2010,Population aged 60+ years old (percentage),7.4,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
524,Nepal,2010,Population density,185.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
524,Nepal,2015,Population mid-year estimates (millions),27.82,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
524,Nepal,2015,Population mid-year estimates for males (millions),13.42,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
524,Nepal,2015,Population mid-year estimates for females (millions),14.40,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
524,Nepal,2015,Sex ratio (males per 100 females),93.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
524,Nepal,2015,Population aged 0 to 14 years old (percentage),33.0,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
524,Nepal,2015,Population aged 60+ years old (percentage),8.4,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
524,Nepal,2015,Population density,189.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
524,Nepal,2022,Population mid-year estimates (millions),29.72,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
524,Nepal,2022,Population mid-year estimates for males (millions),14.35,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
524,Nepal,2022,Population mid-year estimates for females (millions),15.37,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
524,Nepal,2022,Sex ratio (males per 100 females),93.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
524,Nepal,2022,Population aged 0 to 14 years old (percentage),28.9,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
524,Nepal,2022,Population aged 60+ years old (percentage),9.2,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
524,Nepal,2022,Population density,201.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
524,Nepal,2022,Surface area (thousand km2),147,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
