T03,Population growth and indicators of fertility and mortality,,,,,
426,Lesotho,2010,Total fertility rate (children per women),3.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
426,Lesotho,2010,"Under five mortality rate for both sexes (per 1,000 live births)",94.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
426,Lesotho,2010,"Maternal mortality ratio (deaths per 100,000 population)","1,040",Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
426,Lesotho,2010,Life expectancy at birth for both sexes (years),46.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
426,Lesotho,2010,Life expectancy at birth for males (years),43.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
426,Lesotho,2010,Life expectancy at birth for females (years),48.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
426,Lesotho,2015,Population annual rate of increase (percent),1.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
426,Lesotho,2015,Total fertility rate (children per women),3.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
426,Lesotho,2015,"Under five mortality rate for both sexes (per 1,000 live births)",81.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
426,Lesotho,2015,"Maternal mortality ratio (deaths per 100,000 population)",728,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
426,Lesotho,2015,Life expectancy at birth for both sexes (years),51.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
426,Lesotho,2015,Life expectancy at birth for males (years),49.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
426,Lesotho,2015,Life expectancy at birth for females (years),54.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
426,Lesotho,2020,Population annual rate of increase (percent),1.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
426,Lesotho,2020,Total fertility rate (children per women),2.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
426,Lesotho,2020,"Under five mortality rate for both sexes (per 1,000 live births)",76.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
426,Lesotho,2020,"Maternal mortality ratio (deaths per 100,000 population)",566,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
426,Lesotho,2020,Life expectancy at birth for both sexes (years),55.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
426,Lesotho,2020,Life expectancy at birth for males (years),52.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
426,Lesotho,2020,Life expectancy at birth for females (years),57.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
426,Lesotho,2024,Population annual rate of increase (percent),1.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
426,Lesotho,2024,Total fertility rate (children per women),2.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
426,Lesotho,2024,"Under five mortality rate for both sexes (per 1,000 live births)",69.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
426,Lesotho,2024,Life expectancy at birth for both sexes (years),57.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
